"date","incidence"
"2020-03-02","2"
"2020-03-03","2"
"2020-03-04","2"
"2020-03-05","4"
"2020-03-06","2"
"2020-03-07","2"
"2020-03-08","2"
"2020-03-09","1"
"2020-03-10","3"
"2020-03-11","6"
"2020-03-12","11"
"2020-03-13","5"
"2020-03-14","7"
"2020-03-15","32"
"2020-03-16","33"
"2020-03-17","30"
"2020-03-18","35"
"2020-03-19","60"
"2020-03-20","50"
"2020-03-21","89"
"2020-03-22","188"
"2020-03-23","122"
"2020-03-24","106"
"2020-03-25","107"
"2020-03-26","111"
"2020-03-27","91"
"2020-03-28","109"
"2020-03-29","143"
"2020-03-30","136"
"2020-03-31","127"
"2020-04-01","120"
"2020-04-02","104"
"2020-04-03","103"
"2020-04-04","89"
"2020-04-05","102"
"2020-04-06","51"
"2020-04-07","38"
"2020-04-08","111"
"2020-04-09","54"
"2020-04-10","50"
"2020-04-11","45"
"2020-04-12","33"
"2020-04-13","28"
"2020-04-14","34"
"2020-04-15","30"
"2020-04-16","29"
"2020-04-17","28"
"2020-04-18","33"
"2020-04-19","32"
"2020-04-20","27"
